t	x	y	theta	xref	yref
0.030000	0.464725	0.000000	0.000000	1.591549	0.000000
0.120000	0.899028	0.000000	0.000000	1.591549	0.000000
0.210000	1.115513	0.012405	0.041361	1.587028	0.119886
0.300000	1.283154	0.048142	0.121214	1.573488	0.239091
0.420000	1.408381	0.120488	0.282309	1.551008	0.356938
0.510000	1.459428	0.191057	0.447236	1.519714	0.472756
0.600000	1.488127	0.266248	0.622167	1.479785	0.585888
0.720000	1.487450	0.389907	0.925568	1.479785	0.585888
0.810000	1.482965	0.460412	1.071081	1.431448	0.695691
0.900000	1.468845	0.533351	1.219105	1.374977	0.801541
1.020000	1.435403	0.634553	1.417688	1.310693	0.902837
1.110000	1.399650	0.715089	1.563427	1.238961	0.999002
1.200000	1.358018	0.793033	1.692626	1.160190	1.089491
1.320000	1.280189	0.908532	1.871716	1.160190	1.089491
1.410000	1.234980	0.972684	1.946537	1.074826	1.173789
1.500000	1.184763	1.035985	2.018435	0.983354	1.251417
1.620000	1.108150	1.118682	2.115543	0.886295	1.321934
1.710000	1.041325	1.180710	2.191027	0.784200	1.384940
1.800000	0.971636	1.238311	2.261707	0.677649	1.440077
1.920000	0.855141	1.317660	2.371526	0.677649	1.440077
2.010000	0.788959	1.360378	2.419352	0.567247	1.487031
2.100000	0.718736	1.400535	2.469127	0.453622	1.525535
2.220000	0.617011	1.448947	2.543407	0.337420	1.555371
2.310000	0.532098	1.481792	2.605754	0.219300	1.576368
2.400000	0.446251	1.509599	2.666426	0.099934	1.588409
2.520000	0.308936	1.540414	2.765547	0.099934	1.588409
2.610000	0.231849	1.555657	2.809461	-0.019999	1.591424
2.700000	0.151932	1.567061	2.856140	-0.139820	1.585396
2.820000	0.039700	1.574536	2.927322	-0.258845	1.570359
2.910000	-0.051236	1.573758	2.987918	-0.376400	1.546400
3.000000	-0.141198	1.567980	3.047268	-0.491816	1.513653
3.120000	-0.280119	1.546054	3.144972	-0.491816	1.513653
3.210000	-0.357344	1.531827	3.188376	-0.604437	1.472306
3.300000	-0.435798	1.512995	3.234646	-0.713624	1.422593
3.420000	-0.542850	1.478614	3.305406	-0.818756	1.364796
3.510000	-0.627085	1.444405	3.365753	-0.919236	1.299244
3.600000	-0.709258	1.405603	3.425304	-1.014492	1.226310
3.720000	-0.803957	1.341000	3.526845	-1.014492	1.226310
3.810000	-0.869649	1.304977	3.553507	-1.103984	1.146407
3.900000	-0.944559	1.254039	3.603951	-1.187202	1.059991
4.020000	-1.032251	1.185837	3.668817	-1.263675	0.967551
4.110000	-1.102968	1.137300	3.690561	-1.332967	0.869614
4.200000	-1.162440	1.073357	3.762481	-1.394685	0.766735
4.320000	-1.237589	0.981335	3.853067	-1.394685	0.766735
4.410000	-1.285984	0.915580	3.908546	-1.448479	0.659499
4.500000	-1.337805	0.846266	3.950877	-1.494041	0.548516
4.590000	-1.381728	0.767471	4.019762	-1.531115	0.434416
4.710000	-1.429516	0.649898	4.129355	-1.559488	0.317848
4.800000	-1.467212	0.558177	4.186792	-1.579000	0.199474
4.890000	-1.496591	0.481498	4.226508	-1.579000	0.199474
5.010000	-1.528873	0.372041	4.292040	-1.589539	0.079966
5.100000	-1.548022	0.279327	4.353340	-1.591047	-0.039996
5.190000	-1.562190	0.191525	4.407185	-1.583514	-0.159731
5.310000	-1.573418	0.061769	4.488331	-1.566983	-0.278558
5.400000	-1.575206	-0.036446	4.549016	-1.541548	-0.395802
5.490000	-1.572320	-0.148788	4.611094	-1.541548	-0.395802
5.610000	-1.560290	-0.253424	4.677383	-1.507354	-0.510798
5.700000	-1.543549	-0.336824	4.737189	-1.464594	-0.622891
5.790000	-1.523774	-0.416994	4.791902	-1.413513	-0.731444
5.910000	-1.494332	-0.514440	4.856149	-1.354400	-0.835841
6.000000	-1.455982	-0.596858	4.935383	-1.287591	-0.935489
6.090000	-1.418973	-0.678089	4.990879	-1.287591	-0.935489
6.210000	-1.365071	-0.784034	5.056339	-1.213465	-1.029822
6.300000	-1.320377	-0.856551	5.109949	-1.132444	-1.118302
6.390000	-1.270323	-0.930018	5.164151	-1.044989	-1.200428
6.480000	-1.218973	-0.996359	5.217102	-0.951595	-1.275733
6.600000	-1.137862	-1.088041	5.294580	-0.852795	-1.343790
6.690000	-1.072549	-1.150605	5.356126	-0.852795	-1.343790
6.780000	-1.000507	-1.213939	5.415101	-0.749149	-1.404210
6.900000	-0.913697	-1.281322	5.482203	-0.641246	-1.456652
6.990000	-0.839747	-1.331507	5.537787	-0.529699	-1.500816
7.080000	-0.767313	-1.378372	5.583088	-0.415142	-1.536453
7.200000	-0.657904	-1.432534	5.667479	-0.415142	-1.536453
7.290000	-0.574030	-1.466116	5.731653	-0.298227	-1.563359
7.380000	-0.476701	-1.497758	5.803979	-0.179617	-1.581382
7.500000	-0.373073	-1.528239	5.865403	-0.059986	-1.590419
7.590000	-0.287127	-1.547541	5.918215	0.059986	-1.590419
7.680000	-0.204870	-1.560765	5.970503	0.179617	-1.581382
7.800000	-0.083567	-1.572078	6.047708	0.179617	-1.581382
7.890000	0.006597	-1.572974	6.109310	0.298227	-1.563359
